PPD_ID,Gene Symbol,Gene ID,Protein concentration,Unit,Method,Sample type,Reference,Highest reported plasma protein level,Unit,Sample type
HPRD_00343,CGB,1082,19,pg/ml,Immunoassay,Plasma,16038022,19,pg/ml,Plasma
HPRD_07170,CHGA,1113,84,ng/ml,Spectral counting,Plasma,21632744,84,ng/ml,Plasma
HPRD_07170,CHGA,1113,65,ng/ml,-,Plasma,19690635,,,
HPRD_07170,CHGA,1113,110,ng/ml,-,Plasma,15611012,,,
HPRD_07512,CHGB,1114,20,ng/ml,Spectral counting,Plasma,21632744,20,ng/ml,Plasma
HPRD_03314,CHI3L1,1116,47,ng/ml,Spectral counting,Plasma,21632744,166,ng/ml,Serum
HPRD_03314,CHI3L1,1116,15-166,ng/ml,ELISA,Serum,15310777,108,ng/ml,Plasma
HPRD_03314,CHI3L1,1116,96.91 ± 11.02,ng/ml,ELISA,Plasma,21562723,,,
HPRD_03314,CHI3L1,1116,28,ng/ml,-,Plasma,19690635,,,
HPRD_02494,CHIT1,1118,12,ng/ml,Spectral counting,Plasma,21632744,12,ng/ml,Plasma
HPRD_07598,CHL1,10752,14,ng/ml,Spectral counting,Plasma,21632744,14,ng/ml,Plasma
HPRD_02285,CHRDL1,91851,28,ng/ml,Spectral counting,Plasma,21632744,28,ng/ml,Plasma
HPRD_00423,CKB,1152,65,ng/ml,Spectral counting,Plasma,21632744,65,ng/ml,Plasma
HPRD_00426,CKM,1158,65,ng/ml,Spectral counting,Plasma,21632744,105,ng/ml,Plasma
HPRD_00426,CKM,1158,105,ng/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_05277,CLEC11A,6320,13. 0±2.6 ,ng/ml,ELISA,Serum,12900775,15.6,ng/ml,Serum
HPRD_01759,CLEC3B,7123,58,ug/ml,Spectral counting,Plasma,21632744,58,ug/ml,Plasma
HPRD_01759,CLEC3B,7123,7.7-17,ug/ml,Immunoassay,Serum,9760017,17,ug/ml,Plasma
HPRD_01759,CLEC3B,7123,7.8-17,ug/ml,Immunoassay,Serum,9760017,,,
HPRD_01759,CLEC3B,7123,8.75-11.51,ug/ml,ELISA,Serum,10638947,,,
HPRD_01759,CLEC3B,7123,7.7-17,ug/ml,-,Serum,21090636,,,
HPRD_01759,CLEC3B,7123,8.2,ug/ml,-,Plasma,19690635,,,
HPRD_04188,CLIC1,1192,22,ng/ml,Spectral counting,Plasma,21632744,22,ng/ml,Plasma
HPRD_05943,CLIC4,25932,3.1,ng/ml,Spectral counting,Plasma,21632744,3.1,ng/ml,Plasma
HPRD_00356,CLPS,1208,5.6,ng/ml,Spectral counting,Plasma,21632744,5.6,ng/ml,Plasma
HPRD_10837,CLSTN1,22883,7.9,ng/ml,Spectral counting,Plasma,21632744,7.9,ng/ml,Plasma
HPRD_00350,CLTC,1213,3.4,ng/ml,Spectral counting,Plasma,21632744,3.4,ng/ml,Plasma
HPRD_01706,CLU,1191,25,ug/ml,Spectral counting,Plasma,21632744,152.36,ug/ml,Blood
HPRD_01706,CLU,1191,91.4,ug/ml,Multiple reaction monitoring,Plasma,23245390,420,ug/ml,Serum
HPRD_01706,CLU,1191,152.36,ug/ml,Multiple reaction monitoring,Blood,23221968,113.099,ug/ml,Plasma
HPRD_01706,CLU,1191,113.099,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_01706,CLU,1191,250-420,ug/ml,Enzyme immunoassay,Serum,7680696,,,
HPRD_01706,CLU,1191,35-105,ug/ml,ELISA,Serum,12200037,,,
HPRD_01706,CLU,1191,35-110,ug/ml,ELISA,Serum,2454950,,,
HPRD_01706,CLU,1191,40-110,ug/ml,ELISA,Plasma,2454950,,,
HPRD_01706,CLU,1191,40-110,ug/ml,ELISA,Plasma,12200037,,,
HPRD_01706,CLU,1191,50,ug/ml,-,Plasma,12938928,,,
HPRD_01706,CLU,1191,50,ug/ml,-,Plasma,15627965,,,
HPRD_01706,CLU,1191,50,ug/ml,-,Plasma,20677825,,,
HPRD_01706,CLU,1191,100,ug/ml,-,Plasma,19690635,,,
HPRD_01706,CLU,1191,370,ug/ml,-,Plasma,15611012,,,
HPRD_01706,CLU,1191,370,ug/ml,-,Plasma,20204147,,,
HPRD_01706,CLU,1191,250-420,ug/ml,-,Serum,21090636,,,
HPRD_09894,CNDP1,84735,230,ng/ml,Spectral counting,Plasma,21632744,230,ng/ml,Plasma
HPRD_03847,CNN2,1265,3.1,ng/ml,Spectral counting,Plasma,21632744,3.1,ng/ml,Plasma
HPRD_11999,CNOT1,23019,5.7,ng/ml,Spectral counting,Plasma,21632744,5.7,ng/ml,Plasma
HPRD_12056,CNPY2,10330,1.6,ng/ml,Spectral counting,Plasma,21632744,1.6,ng/ml,Plasma
HPRD_00347,CNTF,1270,0.0-6.8,pg/ml,ELISA,Serum,9346362,27.2,pg/ml,Serum
HPRD_00347,CNTF,1270,0-27.2,pg/ml,ELISA,Serum,18353124,,,
HPRD_00347,CNTF,1270,0-8.5,pg/ml,ELISA,Serum,9883970,,,
HPRD_00347,CNTF,1270,0-8.5,pg/ml,ELISA,Serum,10233412,,,
HPRD_07189,CNTN1,1272,14,ng/ml,Spectral counting,Plasma,21632744,14,ng/ml,Plasma
HPRD_00380,COL15A1,1306,8.8,ng/ml,Spectral counting,Plasma,21632744,8.8,ng/ml,Plasma
HPRD_00382,COL18A1,80781,35,ng/ml,Spectral counting,Plasma,21632744,35,ng/ml,Plasma
HPRD_00362,COL1A1,1277,390,ng/ml,Spectral counting,Plasma,21632744,390,ng/ml,Plasma
HPRD_00362,COL1A1,1277,290,pg/ml,-,Plasma,19690635,,,
HPRD_00363,COL1A2,1278,15,ng/ml,Spectral counting,Plasma,21632744,15,ng/ml,Plasma
HPRD_00365,COL3A1,1281,3.4,ng/ml,Spectral counting,Plasma,21632744,3.4,ng/ml,Plasma
HPRD_00355,COL4A2,1284,4,ng/ml,Spectral counting,Plasma,21632744,4,ng/ml,Plasma
HPRD_00368,COL5A1,1289,15,ng/ml,Spectral counting,Plasma,21632744,15,ng/ml,Plasma
HPRD_00370,COL6A1,1291,26,ng/ml,Spectral counting,Plasma,21632744,26,ng/ml,Plasma
HPRD_00371,COL6A3,1293,100,ng/ml,Spectral counting,Plasma,21632744,100,ng/ml,Plasma
HPRD_07403,COLEC10,10584,4.7,ng/ml,Spectral counting,Plasma,21632744,3.8,ng/ml,Plasma
HPRD_06358,COLEC12,81035,9,ng/ml,Spectral counting,Plasma,21632744,9,ng/ml,Plasma
HPRD_02632,COMP,1311,61,ng/ml,Spectral counting,Plasma,21632744,2.17,ug/ml,Plasma
HPRD_02632,COMP,1311,0.95-2.17,ug/ml,Enzyme immunoassay,Plasma,17579668,2.35,ug/ml,Serum
HPRD_02632,COMP,1311,0.97-2.35,ug/ml,Enzyme immunoassay,Serum,17579668,,,
HPRD_05414,CORO1A,11151,41,ng/ml,Spectral counting,Plasma,21632744,41,ng/ml,Plasma
HPRD_16743,CORO1B,57175,1.8,ng/ml,Spectral counting,Plasma,21632744,1.8,ng/ml,Plasma
HPRD_09244,CORO1C,23603,21,ng/ml,Spectral counting,Plasma,21632744,21,ng/ml,Plasma
HPRD_00317,CP,1356,86,ug/ml,Spectral counting,Plasma,21632744,123.7,ug/ml,Blood
HPRD_00317,CP,1356,320,ug/ml,Spectral counting,Plasma,21632744,400,ug/ml,Serum
HPRD_00317,CP,1356,100-400,ug/ml,Single radial immunodiffusion,Serum,4172868,320,ug/ml,Plasma
HPRD_00317,CP,1356,64.9,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00317,CP,1356,123.7,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00317,CP,1356,278±93,mg/L,Immunoradiometric assay,Serum,12077727,,,
HPRD_00317,CP,1356,210,ug/ml,Immunoassay,Plasma,16038022,,,
HPRD_00317,CP,1356,210,ug/ml,-,Plasma,19572557,,,
HPRD_00317,CP,1356,280,ug/ml,-,Plasma,15611012,,,
HPRD_00317,CP,1356,280,ug/ml,-,Plasma,19690635,,,
HPRD_00317,CP,1356,280,ug/ml,-,Plasma,20204147,,,
HPRD_00317,CP,1356,350,ug/ml,-,Plasma,12938928,,,
HPRD_00317,CP,1356,400,ug/ml,-,Plasma,15627965,,,
HPRD_00317,CP,1356,400,ug/ml,-,Plasma,20677825,,,
HPRD_00271,CPB1,1360,15-111 ,ng/ml,Immunoassay,Serum,1688389,111,ng/ml,Serum
HPRD_04374,CPB2,1361,700,ng/ml,Spectral counting,Plasma,21632744,700,ng/ml,Plasma
HPRD_04374,CPB2,1361,3.3,ug/ml,-,Plasma,20204147,,,
HPRD_04374,CPB2,1361,3.5,ug/ml,-,Plasma,15611012,,,
HPRD_04374,CPB2,1361,4.4-15,ug/ml,-,Plasma,16299049,,,
HPRD_04374,CPB2,1361,5-Feb,pg/ml,-,Plasma,1939207,,,
HPRD_16745,CPEB3,22849,5.1,ng/ml,Spectral counting,Plasma,21632744,5.1,ng/ml,Plasma
HPRD_09120,CPN1,1369,720,ng/ml,Spectral counting,Plasma,21632744,720,ng/ml,Plasma
HPRD_09120,CPN1,1369,35,ug/ml,-,Plasma,15627965,,,
HPRD_09120,CPN1,1369,35,ug/ml,-,Plasma,20677825,,,
HPRD_11928,CPN2,1370,2,ug/ml,Spectral counting,Plasma,21632744,2,ug/ml,Plasma
HPRD_11928,CPN2,1370,5.8,ug/ml,-,Plasma,20204147,,,
HPRD_05016,CPNE3,8895,2.3,ng/ml,Spectral counting,Plasma,21632744,2.3,ng/ml,Plasma
HPRD_01995,CPS1,1373,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_00399,CR2,1380,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_11788,CRISP3,10321,6.3,pg/ml,ELISA,Plasma,12009203,6.3,pg/ml,Plasma
HPRD_03596,CRKL,1399,4,ng/ml,Spectral counting,Plasma,21632744,4,ng/ml,Plasma
HPRD_00422,CRP,1401,260,ng/ml,Spectral counting,Plasma,21632744,52,ug/ml,Serum
HPRD_00422,CRP,1401,200-850,ng/ml,nephelometry,Plasma,15547024,8.9,ug/ml,Plasma
HPRD_00422,CRP,1401,1.95 ± 1.43,mg/l,Immunoturbidimetric assay,Serum,21226708,,,
HPRD_00422,CRP,1401,0.3 ± 0.2,mg/dl,Immunonepholometry,Serum,21053744,,,
HPRD_00422,CRP,1401,0-18,ug/ml,Immunoelectrophoresis,Serum,22112431,,,
HPRD_00422,CRP,1401,0.3-1.15,ug/ml,ELISA,Serum,21539846,,,
HPRD_00422,CRP,1401,0.34±0.74,mg/dl,ELISA,Serum,12574959,,,
HPRD_00422,CRP,1401,0.5 - 5.2,mg/dl,ELISA,Serum,18775894,,,
HPRD_00422,CRP,1401,19-3446,ng/ml,ELISA,Serum,14767861,,,
HPRD_00422,CRP,1401,3.7±5.2,mg/L,ELISA,Plasma,21576827,,,
HPRD_00422,CRP,1401,800-3800,ng/ml,ELISA,Plasma,18082488,,,
HPRD_00422,CRP,1401,May-52,ug/ml,ELISA,Serum,18775894,,,
HPRD_00422,CRP,1401,3,ug/ml,-,Plasma,12938928,,,
HPRD_00422,CRP,1401,3,ug/ml,-,Plasma,20677825,,,
HPRD_00422,CRP,1401,2.3,ug/ml,-,Plasma,15611012,,,
HPRD_00422,CRP,1401,0.1-5,ug/ml,-,Serum,22112431,,,
HPRD_00422,CRP,1401,2,ug/ml,-,Plasma,19690635,,,
HPRD_10447,CRTAC1,55118,27,ng/ml,Spectral counting,Plasma,21632744,27,ng/ml,Plasma
HPRD_00427,CRYAA,1409,3.1,ng/ml,Spectral counting,Plasma,21632744,3.1,ng/ml,Plasma
HPRD_09021,CRYBB1,1414,13,ng/ml,Spectral counting,Plasma,21632744,13,ng/ml,Plasma
HPRD_00437,CRYZ,1429,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_00388,CSF1,1435,24,ng/ml,Spectral counting,Plasma,21632744,24,ng/ml,Plasma
HPRD_00388,CSF1,1435,202 ± 20,pg/ml,ELISA,Plasma,18632595,,,
HPRD_00388,CSF1,1435,680 ± 158,pg/ml,ELISA,Plasma,10716468,,,
HPRD_00388,CSF1,1435,70,pg/ml,-,Plasma,19690635,,,
HPRD_00388,CSF1,1435,680,pg/ml,-,Plasma,15611012,,,
HPRD_01269,CSF1R,1436,18,ng/ml,Spectral counting,Plasma,21632744,26,ng/ml,Plasma
HPRD_01269,CSF1R,1436,26,ng/ml,Immunoassay,Plasma,16038022,,,
HPRD_01269,CSF1R,1436,26,ng/ml,-,Plasma,16335952,,,
HPRD_01269,CSF1R,1436,26,ng/ml,-,Plasma,20677825,,,
HPRD_00734,CSF2,1437,10,pg/ml,-,Plasma,19690635,10,pg/ml,Plasma
HPRD_00736,CSF3,1440,0-373,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,373,pg/ml,Plasma
HPRD_00736,CSF3,1440,18,pg/ml,-,Plasma,19690635,,,
HPRD_00470,CSRP1,1465,7.6,ng/ml,Spectral counting,Plasma,21632744,7.6,ng/ml,Plasma
HPRD_07525,CSRP3,8048,2.3,ng/ml,Spectral counting,Plasma,21632744,2.3,ng/ml,Plasma
HPRD_00460,CST1,1469,51,ng/ml,Spectral counting,Plasma,21632744,51,ng/ml,Plasma
HPRD_05056,CST3,1471,4.8,ug/ml,Spectral counting,Plasma,21632744,4.8,ug/ml,Plasma
HPRD_05056,CST3,1471,200-400,ng/ml,ELISA,Serum,15149884,,,
HPRD_05056,CST3,1471,1.1,ug/ml,-,Plasma,12938928,,,
HPRD_05056,CST3,1471,320,ng/ml,-,Plasma,19690635,,,
HPRD_00462,CST4,1472,5,ng/ml,Spectral counting,Plasma,21632744,5,ng/ml,Plasma
HPRD_03535,CST6,1474,270,ng/ml,Spectral counting,Plasma,21632744,270,ng/ml,Plasma
HPRD_01697,CSTA,1475,16,ng/ml,Spectral counting,Plasma,21632744,16,ng/ml,Plasma
HPRD_01697,CSTA,1475,3.2,ng/ml,-,Plasma,19690635,,,
HPRD_03091,CSTB,1476,78,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_03091,CSTB,1476,1.7,ng/ml,-,Plasma,19690635,78,ng/ml,Plasma
HPRD_02927,CTBS,1486,360,ng/ml,Spectral counting,Plasma,21632744,360,ng/ml,Plasma
HPRD_00412,CTGF,1490,38,ng/ml,Spectral counting,Plasma,21632744,38,ng/ml,Plasma
HPRD_02020,CTSA,5476,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_00287,CTSB,1508,93,ng/ml,Spectral counting,Plasma,21632744,93,ng/ml,Plasma
HPRD_00287,CTSB,1508,1.5-40 ,ng/ml,ELISA,Serum,9626470,,,
HPRD_00287,CTSB,1508,2.1,ng/ml,-,Plasma,15611012,,,
HPRD_00287,CTSB,1508,2.1,ng/ml,-,Plasma,19690635,,,
HPRD_03841,CTSC,1075,7.8,ug/ml,Spectral counting,Plasma,21632744,7.8,ug/ml,Plasma
HPRD_00291,CTSD,1509,180,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_00291,CTSD,1509,8.9,ng/ml,-,Plasma,16335952,180,ng/ml,Plasma
HPRD_00291,CTSD,1509,9,ng/ml,-,Plasma,20698492,,,
HPRD_00289,CTSG,1511,3.7,ng/ml,Spectral counting,Plasma,21632744,3.7,ng/ml,Plasma
HPRD_00288,CTSH,1512,130,ng/ml,Spectral counting,Plasma,21632744,130,ng/ml,Plasma
HPRD_03064,CTSK,1513,0.1-24,pg/ml,ELISA,Serum,18674944,24,pg/ml,Serum
HPRD_03064,CTSK,1513,31-165,ng/ml,ELISA,Plasma,16376371,165,ng/ml,Plasma
HPRD_00292,CTSS,1520,5.1,ng/ml,Spectral counting,Plasma,21632744,5.1,ng/ml,Plasma
HPRD_04410,CTSZ,1522,12,ng/ml,Spectral counting,Plasma,21632744,12,ng/ml,Plasma
HPRD_01268,CTTN,2017,2.4,ng/ml,Spectral counting,Plasma,21632744,2.4,ng/ml,Plasma
HPRD_12902,CUTA,51596,28,ng/ml,Spectral counting,Plasma,21632744,28,ng/ml,Plasma
HPRD_00930,CXCL10,3627,Apr-97,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,97,pg/ml,Plasma
HPRD_00930,CXCL10,3627,91±51,pg/ml,ELISA,Serum,18760981,864,pg/ml,Serum
HPRD_00930,CXCL10,3627,597-864,pg/ml,Cytometric bead array,Serum,20032101,,,
HPRD_00741,CXCL2,2920,300,pg/ml,Immunoassay,Plasma,16038022,32,ng/ml,Plasma
HPRD_08976,CXCL5,6374,340,pg/ml,Immunoassay,Plasma,16038022,,,
HPRD_08976,CXCL5,6374,340,pg/ml,-,Plasma,19572557,,,
HPRD_08976,CXCL5,6374,400,pg/ml,-,Plasma,19690635,340,pg/ml,Plasma
HPRD_03416,CXCL9,4283,0-86,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,250,pg/ml,Serum
HPRD_03416,CXCL9,4283,159-250,pg/ml,Cytometric bead array,Serum,20032101,,,
HPRD_08941,CYB5A,1528,5.1,ng/ml,Spectral counting,Plasma,21632744,5.1,ng/ml,Plasma
HPRD_00479,CYCS,54205,8,ng/ml,Spectral counting,Plasma,21632744,8,ng/ml,Plasma
HPRD_16260,CYTL1,54360,4.3,ng/ml,Spectral counting,Plasma,21632744,4.3,ng/ml,Plasma
HPRD_00546,DAG1,1605,34,ng/ml,Spectral counting,Plasma,21632744,34,ng/ml,Plasma
HPRD_13180,DAK,26007,8,ng/ml,Spectral counting,Plasma,21632744,8,ng/ml,Plasma
HPRD_07677,DARS2,55157,1.2,ng/ml,Spectral counting,Plasma,21632744,1.2,ng/ml,Plasma
HPRD_01963,DBH,1621,110,ng/ml,Spectral counting,Plasma,21632744,110,ng/ml,Plasma
HPRD_08832,DBI,1622,100,ng/ml,Spectral counting,Plasma,21632744,100,ng/ml,Plasma
HPRD_08832,DBI,1622,1,pg/ml,-,Plasma,19690635,,,
HPRD_07363,DCD,117159,130,ng/ml,Spectral counting,Plasma,21632744,130,ng/ml,Plasma
HPRD_16320,DCXR,51181,14,ng/ml,Spectral counting,Plasma,21632744,14,ng/ml,Plasma
HPRD_09203,DDAH1,23576,3.8,ng/ml,Spectral counting,Plasma,21632744,3.8,ng/ml,Plasma
HPRD_04126,DDT,1652,17,ng/ml,Spectral counting,Plasma,21632744,17,ng/ml,Plasma
HPRD_00499,DEFA1,1667,3.6,ug/ml,Spectral counting,Plasma,21632744,3.6,ug/ml,Plasma
HPRD_00499,DEFA1,1667,0·12 ± 0·07,ng/ml,ELISA,Serum,19191901,,,
HPRD_00499,DEFA1,1667,42,ng/ml,-,Plasma,19690635,,,
HPRD_19030,DEFA1B,728358,42,ng/ml,-,Plasma,19690635,42,ng/ml,Plasma
HPRD_02720,DEFA5,1670,3,ug/ml,Spectral counting,Plasma,21632744,42,ng/ml,Plasma
HPRD_02719,DEFA6,1671,34,ng/ml,Spectral counting,Plasma,21632744,3,ug/ml,Plasma
HPRD_00514,DES,1674,28,ug/ml,Spectral counting,Plasma,21632744,34,ng/ml,Plasma
HPRD_05560,DIABLO,56616,257,pg/ml,ELISA,Serum,22218530,257,pg/ml,Serum
HPRD_05659,DKK3,27122,15,ng/ml,Spectral counting,Plasma,21632744,15,ng/ml,Plasma
HPRD_02006,DLD,1738,3.9,ng/ml,Spectral counting,Plasma,21632744,2.9,ug/ml,Plasma
HPRD_05789,DMGDH,29958,1.6,ng/ml,Spectral counting,Plasma,21632744,1.6,ng/ml,Plasma
HPRD_12387,DMKN,93099,20,ng/ml,Spectral counting,Plasma,21632744,20,ng/ml,Plasma
HPRD_00506,DMTN,2039,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_09924,DNPEP,23549,7.3,ng/ml,Spectral counting,Plasma,21632744,7.3,ng/ml,Plasma
HPRD_07011,DPEP2,64174,6.5,ng/ml,Spectral counting,Plasma,21632744,6.5,ng/ml,Plasma
HPRD_06012,DPP3,10072,6.1,ng/ml,Spectral counting,Plasma,21632744,6.1,ng/ml,Plasma
HPRD_02187,DPP4,1803,6,ng/ml,Spectral counting,Plasma,21632744,3.9,ng/ml,Plasma
HPRD_02187,DPP4,1803,197-487,ng/ml,ELISA,Serum,19459926,487,ng/ml,Serum
HPRD_03914,DPYSL2,1808,6.1,ng/ml,Spectral counting,Plasma,21632744,6.1,ng/ml,Plasma
HPRD_00511,DSC1,1823,52,ng/ml,Spectral counting,Plasma,21632744,52,ng/ml,Plasma
HPRD_00512,DSC2,1824,2.7,ng/ml,Spectral counting,Plasma,21632744,2.7,ng/ml,Plasma
HPRD_02604,DSC3,1825,27,ng/ml,Spectral counting,Plasma,21632744,27,ng/ml,Plasma
HPRD_00515,DSG1,1828,14,ng/ml,Spectral counting,Plasma,21632744,14,ng/ml,Plasma
HPRD_00516,DSG2,1829,2.7,ng/ml,Spectral counting,Plasma,21632744,2.7,ng/ml,Plasma
HPRD_00513,DSP,1832,20,ng/ml,Spectral counting,Plasma,21632744,20,ng/ml,Plasma
HPRD_16446,DSTN,11034,1.5,ng/ml,Spectral counting,Plasma,21632744,1.5,ng/ml,Plasma
HPRD_02628,ECI1,1632,4.4,ng/ml,Spectral counting,Plasma,21632744,4.4,ng/ml,Plasma
HPRD_03727,ECM1,1893,770,ng/ml,Spectral counting,Plasma,21632744,770,ng/ml,Plasma
HPRD_07030,EDN1,1906,1.5± 0.2,ng/ml,Radioimmunoassay,Plasma,7572659,1.7,ng/ml,Plasma
HPRD_07030,EDN1,1906,1.5,pg/ml,-,Plasma,19690635,,,
HPRD_07030,EDN1,1906,3.6,pg/ml,-,Plasma,15611012,,,
HPRD_07030,EDN1,1906,12,pg/ml,-,Plasma,15611012,,,
HPRD_00559,EEF1A1,1915,61,ng/ml,Spectral counting,Plasma,21632744,61,ng/ml,Plasma
HPRD_00561,EEF2,1938,30,ng/ml,Spectral counting,Plasma,21632744,30,ng/ml,Plasma
HPRD_03331,EFEMP1,2202,260,ng/ml,Spectral counting,Plasma,21632744,260,ng/ml,Plasma
HPRD_02072,EFNB1,1947,5.8,ng/ml,Spectral counting,Plasma,21632744,5.8,ng/ml,Plasma
HPRD_02754,EFNB2,1948,8,ng/ml,Spectral counting,Plasma,21632744,8,ng/ml,Plasma
HPRD_04869,EFTUD2,9343,4.9,ng/ml,Spectral counting,Plasma,21632744,4.9,ng/ml,Plasma
HPRD_00578,EGF,1950,0-3.33,ng/ml,Multiplex immunobead assay,Serum,17438101,3.33,ng/ml,Serum
HPRD_00578,EGF,1950,15,pg/ml,-,Plasma,19690635,,,
HPRD_00579,EGFR,1956,12,ng/ml,Spectral counting,Plasma,21632744,12,ng/ml,Plasma
HPRD_00579,EGFR,1956,11,ng/ml,Immunoassay,Plasma,16038022,,,
HPRD_00579,EGFR,1956,6.9,ng/ml,-,Plasma,19690635,,,
HPRD_09325,EHD1,10938,1.8,ng/ml,Spectral counting,Plasma,21632744,1.8,ng/ml,Plasma
HPRD_16170,EHD3,30845,1.3,ng/ml,Spectral counting,Plasma,21632744,1.3,ng/ml,Plasma
HPRD_04884,EIF3I,8668,2.3,ng/ml,Spectral counting,Plasma,21632744,2.3,ng/ml,Plasma
HPRD_04030,EIF4A1,1973,4,ng/ml,Spectral counting,Plasma,21632744,4,ng/ml,Plasma
HPRD_03062,EIF4A2,1974,4,ng/ml,Spectral counting,Plasma,21632744,4,ng/ml,Plasma
HPRD_02555,EIF5A,1984,39,ng/ml,Spectral counting,Plasma,21632744,39,ng/ml,Plasma
HPRD_00556,ELN,2006,38,ng/ml,Spectral counting,Plasma,21632744,38,ng/ml,Plasma
HPRD_07884,ELP6,54859,1.2,ng/ml,Spectral counting,Plasma,21632744,1.2,ng/ml,Plasma
HPRD_13270,ELTD1,64123,2.8,ng/ml,Spectral counting,Plasma,21632744,2.8,ng/ml,Plasma
HPRD_09937,EMILIN2,84034,29,ng/ml,Spectral counting,Plasma,21632744,29,ng/ml,Plasma
HPRD_00565,ENG,2022,6.9,ng/ml,Spectral counting,Plasma,21632744,6.9,ng/ml,Plasma
HPRD_00565,ENG,2022,41.0 ± 15,ng/ml,Sandwich Assay,Serum,11297243,56,ng/ml,Serum
HPRD_00565,ENG,2022,3.4-8.3,ng/ml,ELISA,Serum,19276301,,,
HPRD_00565,ENG,2022,34,ng/ml,-,Plasma,15611012,,,
HPRD_00565,ENG,2022,34,ng/ml,-,Plasma,19690635,,,
HPRD_01400,ENO1,2023,55,ng/ml,Spectral counting,Plasma,21632744,55,ng/ml,Plasma
HPRD_00573,ENO2,2026,55,ng/ml,Spectral counting,Plasma,21632744,55,ng/ml,Plasma
HPRD_00573,ENO2,2026,1.4,ng/ml,Immunoassay,Plasma,16038022,,,
HPRD_00573,ENO2,2026,9.6,ng/ml,-,Plasma,15611012,,,
HPRD_00573,ENO2,2026,13,ng/ml,-,Plasma,19690635,,,
HPRD_00573,ENO2,2026,80,pg/ml,-,Plasma,15611012,,,
HPRD_00573,ENO2,2026,8.15±1.53,ng/dl,-,Plasma,12089745,,,
HPRD_11746,ENO3,2027,55,ng/ml,Spectral counting,Plasma,21632744,55,ng/ml,Plasma
HPRD_08848,ENPEP,2028,2.1,ng/ml,Spectral counting,Plasma,21632744,2.1,ng/ml,Plasma
HPRD_03037,ENPP2,5168,39,ng/ml,Spectral counting,Plasma,21632744,39,ng/ml,Plasma
HPRD_11927,ENSA,2029,2.1,ng/ml,Spectral counting,Plasma,21632744,2.1,ng/ml,Plasma
HPRD_00558,EPB41,2035,4.6,ng/ml,Spectral counting,Plasma,21632744,4.6,ng/ml,Plasma
HPRD_01709,EPCAM,4072,2,ng/ml,-,Plasma,19690635,2,ng/ml,Plasma
HPRD_01554,EPHA1,2041,2.7,ng/ml,Spectral counting,Plasma,21632744,2.7,ng/ml,Plasma
HPRD_00582,EPHX2,2053,3.9,ng/ml,Spectral counting,Plasma,21632744,3.9,ng/ml,Plasma
HPRD_00586,EPO,2056,100,ng/ml,-,Plasma,19690635,100,ng/ml,Plasma
HPRD_00586,EPO,2056,260,pg/ml,-,Plasma,15611012,,,
HPRD_06500,EPPK1,83481,2.8,ng/ml,Spectral counting,Plasma,21632744,2.8,ng/ml,Plasma
HPRD_06015,ERAP1,51752,5.1,ng/ml,Spectral counting,Plasma,21632744,5.1,ng/ml,Plasma
HPRD_14306,ERAP2,64167,980,pg/ml,Spectral counting,Plasma,21632744,980,pg/ml,Plasma
HPRD_01281,ERBB2,2064,11,ng/ml,-,Plasma,19690635,11,ng/ml,Plasma
HPRD_04943,ERN1,2081,7,ng/ml,Spectral counting,Plasma,21632744,7,ng/ml,Plasma
HPRD_03794,ERP29,10961,6,ng/ml,Spectral counting,Plasma,21632744,6,ng/ml,Plasma
HPRD_10290,ERP44,23071,4.5,ng/ml,Spectral counting,Plasma,21632744,4.5,ng/ml,Plasma
HPRD_13280,ESAM,90952,4.6,ng/ml,Spectral counting,Plasma,21632744,4.6,ng/ml,Plasma
HPRD_00588,ESD,2098,13,ng/ml,Spectral counting,Plasma,21632744,13,ng/ml,Plasma
HPRD_00475,EZR,7430,47,ng/ml,Spectral counting,Plasma,21632744,47,ng/ml,Plasma
HPRD_01966,F10,2159,500,ng/ml,Spectral counting,Plasma,21632744,500,ng/ml,Plasma
HPRD_01966,F10,2159,7.5,ug/ml,-,Plasma,12938928,,,
HPRD_01966,F10,2159,8,ug/ml,-,Plasma,15627965,,,
HPRD_01966,F10,2159,8,ug/ml,-,Plasma,20677825,,,
HPRD_01966,F10,2159,10,ug/ml,-,Plasma,15611012,,,
HPRD_01966,F10,2159,10,ug/ml,-,Plasma,20204147,,,
