PPD_ID,Gene Symbol,Gene ID,Protein concentration,Unit,Method,Sample type,Reference,Highest reported plasma protein level,Unit,Sample type
HPRD_03392,ANGPT1,284,4·0-5·5,ng/ml,ELISA,Plasma,14511360,14,ng/ml,Plasma
HPRD_03392,ANGPT1,284,6.21-47.71,ng/ml,ELISA,Serum,21149250,,,
HPRD_03392,ANGPT1,284,6·0-14,ng/ml,ELISA,Plasma,14511360,,,
HPRD_03563,ANGPT2,285,97,pg/ml,Immunoassay,Plasma,16038022,36.49,ng/ml,Serum
HPRD_03563,ANGPT2,285,0·65-2·14,ng/ml,ELISA,Plasma,14511360,6.94,ng/ml,Plasma
HPRD_03563,ANGPT2,285,1.2-36.49,ng/ml,ELISA,Serum,21149250,,,
HPRD_03563,ANGPT2,285,1·06-1·5,ng/ml,ELISA,Plasma,14511360,,,
HPRD_03563,ANGPT2,285,615-6940,pg/ml,ELISA,Plasma,20615083,,,
HPRD_03563,ANGPT2,285,1.5,ng/ml,-,Plasma,19690635,,,
HPRD_04851,ANGPTL1,9068,5.9,ng/ml,Spectral counting,Plasma,21632744,5.9,ng/ml,Plasma
HPRD_10381,ANGPTL3,27329,12,ng/ml,Spectral counting,Plasma,21632744,12,ng/ml,Plasma
HPRD_01693,ANK1,286,1.8,ng/ml,Spectral counting,Plasma,21632744,1.8,ng/ml,Plasma
HPRD_16491,ANKRD26,22852,7.3,ng/ml,Spectral counting,Plasma,21632744,7.3,ng/ml,Plasma
HPRD_09014,ANP32A,8125,3.3,ng/ml,Spectral counting,Plasma,21632744,3.3,ng/ml,Plasma
HPRD_01055,ANPEP,290,36,ng/ml,Spectral counting,Plasma,21632744,36,ng/ml,Plasma
HPRD_01060,ANXA1,301,6.2,ng/ml,Spectral counting,Plasma,21632744,6.2,ng/ml,Plasma
HPRD_01061,ANXA2,302,15,ng/ml,Spectral counting,Plasma,21632744,15,ng/ml,Plasma
HPRD_00111,ANXA3,306,1.6,ng/ml,Spectral counting,Plasma,21632744,1.6,ng/ml,Plasma
HPRD_00568,ANXA5,308,7.9,ng/ml,Spectral counting,Plasma,21632744,7.9,ng/ml,Plasma
HPRD_04770,AOC3,8639,7,ng/ml,Spectral counting,Plasma,21632744,120,ng/ml,Plasma
HPRD_04770,AOC3,8639,120,ng/ml,Immunoassay,Plasma,16038022,,,
HPRD_04770,AOC3,8639,120,ng/ml,-,Plasma,16335952,,,
HPRD_07537,AOX1,316,2.7,ng/ml,Spectral counting,Plasma,21632744,2.7,ng/ml,Plasma
HPRD_00101,APCS,325,8.7,ug/ml,Spectral counting,Plasma,21632744,27.7±10.6,mg/l,Serum
HPRD_00101,APCS,325,1.402,ug/ml,Multiple reaction monitoring,Plasma,23592487,8.7,ug/ml,Plasma
HPRD_00101,APCS,325,27.7±10.6,mg/l,ELISA,Serum,15194579,,,
HPRD_00101,APCS,325,15-Oct,ug/ml,ELISA,Serum,8832424,,,
HPRD_00101,APCS,325,55,ug/ml,-,Plasma,12938928,,,
HPRD_00101,APCS,325,55,ug/ml,-,Plasma,15627965,,,
HPRD_00101,APCS,325,55,ug/ml,-,Plasma,20677825,,,
HPRD_00102,APLP1,333,18,ng/ml,Spectral counting,Plasma,21632744,18,ng/ml,Plasma
HPRD_00103,APLP2,334,1.8,ng/ml,Spectral counting,Plasma,21632744,1.8,ng/ml,Plasma
HPRD_09840,APMAP,57136,29,ng/ml,Spectral counting,Plasma,21632744,29,ng/ml,Plasma
